Name (Arabic),Name (transliterated),M.P. ID Number,Gender,Age,Profession,Education,Birth Place,Elected,Legislative Instituion,Electoral District (Arabic),Electoral District (French),Parliamentary Period,Time Spent in Parliament by Representative in this Period,Did the politician finish this parliamentary period in office?,Politcal Party (Arabic),Political Party (French),Years of Party Membership During This Parliamentary Session,Party 2 if they left their first party (Arabic),Party 2 if they left their first party (French),Years in Party 2 if they left their first party,Party 3 if they left their second party (Arabic),Party 3 if they left their second party (French),Years in Party 3 if they left their second party,Party 4 (Arabic) if they left their third party,Party 4 if they left their third party (French),Years in Party 4 if they left their third party,,,,,,,,,,,,,,,,,,,,,,,,
 آمنة بن حميد ,Emna Ben Hmayed,484,Female,1980,Teacher,Post Secondary,,1,Assembly of the Representatives of the People,بنزرت,Bizerte,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حسين الجزيرى,Houcine Jaziri,485,Male,1968,Teacher,Post Secondary,Medenine,1,Assembly of the Representatives of the People,فرنسا 1,France 1,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أمل سويد,Amal Souid,486,Female,1988,Student,Post Secondary,Gabes,1,Assembly of the Representatives of the People,قابس,Gabes,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
راضية التومى,Radhia Toumi,487,Female,1982,Doctor,Post Secondary,Gabes,1,Assembly of the Representatives of the People,قابس,Gabes,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد المحسن سودانى,Mohamed Mohsen Soudani,488,Male,1965,Teacher,Post Secondary,,1,Assembly of the Representatives of the People,قفصة,Gafsa,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
زينب براهمى,Zeineb Brahmi,489,Female,1984,Lawyer,Post Secondary,Gafsa,1,Assembly of the Representatives of the People,قفصة,Gafsa,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 زينب براهمي,Zeineb Brahmi,489,Female,1984,Lawyer,Post Secondary,Gafsa,1,Assembly of the Representatives of the People,قفصة,Gafsa,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 فريدة عبيدى,Ferida Laabidi,490,Female,1967,Lawyer,Post Secondary,Le Kef,1,Assembly of the Representatives of the People, القيروان,Kairouan,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فريدة عبيدي,Ferida Laabidi,490,Female,1967,Lawyer,Post Secondary,Le Kef,1,Assembly of the Representatives of the People, القيروان,Kairouan,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الهادى صولة,Hedi Soula,491,Male,1961,Engineer,Post Secondary,Kairouan,1,Assembly of the Representatives of the People, القيروان,Kairouan,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
صافية خلفى,Safia Khalfi,492,Female,1966,Teacher,Post Secondary,,1,Assembly of the Representatives of the People,القصرين,Kasserine,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد على البدوى,Mohamed Ali Bedoui,493,Male,1952,,,,1,Assembly of the Representatives of the People,قبلي ,Kebili,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محبوبة بن ضيف الله,Mahbouba Ben Dhifallah,494,Female,1969,Engineer,Post Secondary,,1,Assembly of the Representatives of the People,قبلي ,Kebili,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محبوبة بن ضيف الله,Mahbouba Ben Dhifallah,494,Female,1969,Engineer,Post Secondary,,1,Assembly of the Representatives of the People,قبلي ,Kebili,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عماد الخميرى,Imed Khemiri,495,Male,1964,CEO of a company,,,1,Assembly of the Representatives of the People,منوبة,La Manouba,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عماد الخميري,Imed Khemiri,495,Male,1964,CEO of a company,,,1,Assembly of the Representatives of the People,منوبة,La Manouba,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 ليلى الوسلاتى,Leila Oueslati,496,Female,1963,Teacher,Post Secondary,Kairouan,1,Assembly of the Representatives of the People,المهدية,Mahdia,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 أحمد عمارى,Ahmed Ameri,497,Male,1951,Engineer,Post Secondary,Kairouan,1,Assembly of the Representatives of the People,مدنين ,Medenine,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
هاجر بوزمى,Heger Bouzemmi,498,Female,1988,Web Designer,Post Secondary,Kairouan,1,Assembly of the Representatives of the People,مدنين ,Medenine,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
هاجر بوزمي,Heger Bouzemmi,498,Female,1988,Web Designer,Post Secondary,Kairouan,1,Assembly of the Representatives of the People,مدنين ,Medenine,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
لخضر بالهوشات,Lakhdhar Belhouchat,499,Male,1964,,,Medenine,1,Assembly of the Representatives of the People,مدنين ,Medenine,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد كمال بسباس,Mohamed Kamel Besbes,500,Male,1957,Engineer,Post Secondary,,1,Assembly of the Representatives of the People,المنستير,Monastir,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 شهيدة فرج,Chahida Fraj,501,Female,1960,Engineer,Post Secondary,,1,Assembly of the Representatives of the People,المنستير,Monastir,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد سيدهم,Mohamed Sidhom,502,Male,1951,Teacher,Post Secondary,,1,Assembly of the Representatives of the People,نابل 1,Nabeul 1,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ماهر المذيوب,Maher Madhioub ,503,Male,1963,Journalist,,,1,Assembly of the Representatives of the People,الدول العربية وبقية دول العالم,Pays Arabes et Reste du Monde,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ماهر المذيوب  ,Maher Madhioub,503,Male,1963,Journalist,,,1,Assembly of the Representatives of the People,الدول العربية وبقية دول العالم,Pays Arabes et Reste du Monde,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سليم بسباس,Slim Besbes,504,Male,1962,Professor,Post Secondary,Tunis,1,Assembly of the Representatives of the People, صفاقس1,Sfax 1,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الفريخة,Mohamed Frikha,505,Male,1963,CEO of a company,,,1,Assembly of the Representatives of the People,صفاقس2,Sfax 2,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نوفل الجمالى,Naoufel Jammali,506,Male,1976,Professor,Post Secondary,Tunis,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 نوفل الجمالي,Naoufel Jammali,506,Male,1976,Professor,Post Secondary,Tunis,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حياة عمرى,Hayet Omri,507,Female,1981,Professor,Post Secondary,Sidi Bouzid,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حياة عمرى,Hayet Omri,507,Female,1981,Professor,Post Secondary,Sidi Bouzid,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الزهير الرجبى,Zouhair Rejbi,508,Male,1959,Accountant,Post Secondary,Siliana,1,Assembly of the Representatives of the People, سليانة,Siliana,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
العجمى الوريمى,Lajmi Lourimi,509,Male,1961,Teacher,Post Secondary,,1,Assembly of the Representatives of the People,سوسة,Sousse,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
البشير الخليفى,Bechir Khelifi,510,Male,1975,Lawyer,Post Secondary,Tatouine,1,Assembly of the Representatives of the People, تطاوين,Tataouine,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
بشير الخليفي,Bechir Khelifi,510,Male,1975,Lawyer,Post Secondary,Tatouine,1,Assembly of the Representatives of the People, تطاوين,Tataouine,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
جميلة الجويني ,Jamila Jouini,511,Female,1967,Teacher,Post Secondary,Tatouine,1,Assembly of the Representatives of the People, تطاوين,Tataouine,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
جميلة الجويني ,Jamila Jouini,511,Female,1967,Teacher,Post Secondary,Tatouine,1,Assembly of the Representatives of the People, تطاوين,Tataouine,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حسين اليحياوى,Hssine Yahyaoui,512,Male,1954,Engineer,Post Secondary,Tatouine,1,Assembly of the Representatives of the People, تطاوين,Tataouine,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الاخضر العجيلى,Mohamed Lakhdhar Lajili,513,Male,1963,Teacher,Post Secondary,Tozeur,1,Assembly of the Representatives of the People,توزر,Tozeur,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
على العريض,Ali Laraiedh,514,Male,1955,Engineer,Post Secondary,Medenine,1,Assembly of the Representatives of the People,تونس 1,Tunis 1,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
النذير بنعمو,Nadhir Ben Ammou,515,Male,1959,Lawyer,Post Secondary,Nabeul,1,Assembly of the Representatives of the People,تونس 1,Tunis 1,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2018,مستقل,Independent,2018-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد الفتاح مورو,Abdelfattah Mourou,516,Male,1947,Lawyer,Post Secondary,Tunis,1,Assembly of the Representatives of the People,تونس 2,Tunis 2,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
اروى بن عباس,Aroua Ben Abbas,517,Female,1963,Interior Designer,Post Secondary,Tunis,1,Assembly of the Representatives of the People,تونس 2,Tunis 2,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 أروى بن عباس,Aroua Ben Abbas,517,Female,1963,Interior Designer,Post Secondary,Tunis,1,Assembly of the Representatives of the People,تونس 2,Tunis 2,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
لمياء المليح,Lamia Mlayah,518,Female,1978,Chemist,Post Secondary,,1,Assembly of the Representatives of the People,القارة الأمريكية وبقية الدول الأوروبية,Amerique et Reste de L'Europe,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ليلى الحمرونى,Leila Hamrouni,519,Female,1960,Researcher,Post Secondary,,1,Assembly of the Representatives of the People, أريانة,Ariana,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2016,حركة مشروع تونس,Mouvement Machrouu Tounes,2016-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 حسن العمرى,Hssan Amri,520,Male,1977,Merchant,,Siliana,1,Assembly of the Representatives of the People, أريانة,Ariana,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 صابرين الغبنتينى,Sabrine Goubantini,521,Female,1987,Accountant,Post Secondary,France,1,Assembly of the Representatives of the People, أريانة,Ariana,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
منير الحمدى,Mounir Hamdi,522,Male,1966,Lawyer,Post Secondary,,1,Assembly of the Representatives of the People, باجة,Beja,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نجلاء سعداوى,Najla Saadaoui,523,Female,1979,Lawyer,Post Secondary,,1,Assembly of the Representatives of the People, باجة,Beja,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عصام الماطوسى,Issam Matoussi,524,Male,1978,University Assistant,,,1,Assembly of the Representatives of the People, باجة,Beja,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2017,حركة مشروع تونس,Mouvement Machrouu Tounes,2017,حركة نداء تونس,Mouvement Nidaa Tounes,2017-2019,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
وفاء مخلوف,Wafa Makhlouf,525,Female,1975,Entrepreneur ,Post Secondary,,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد الطرودى,Mohamed Troudi,526,Male,1971,Human Resources Director,,,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2016,حركة مشروع تونس,Mouvement Machrouu Tounes,2016-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 الفة السكرى الشريف,Olfa Soukri,527,Female,1976,University Professor,Post Secondary,Tunis,1,Assembly of the Representatives of the People,بن عروس,Ben Arous,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
على بن سالم,Ali Ben Salem,528,Male,1932,,,Bizerte,1,Assembly of the Representatives of the People,بنزرت,Bizerte,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 ابراهيم ناصف,Brahim Nacef,529,Male,1952,Pharmacist ,Post Secondary,Bizerte,1,Assembly of the Representatives of the People,بنزرت,Bizerte,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2016,حركة مشروع تونس,Mouvement Machrouu Tounes,2016-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ابتهاج بن هلال,Ibtihej Ben Helal,530,Female,1980,,,,1,Assembly of the Representatives of the People,بنزرت,Bizerte,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2019,قلب تونس,Qalb Tounes,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ابتهاج بن هلال,Ibtijej Ben Helal,530,Female,1980,,,,1,Assembly of the Representatives of the People,بنزرت,Bizerte,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
خولة بن عائشة,Khawla Ben Aicha,531,Female,1988,Marketing and Communications,Post Secondary,,1,Assembly of the Representatives of the People,فرنسا 1,France 1,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2016,حركة مشروع تونس,Mouvement Machrouu Tounes,2016-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 كمال الذوادى,Kamel Dhaouadi,532,Male,1970,Lawyer,Post Secondary,,1,Assembly of the Representatives of the People,فرنسا 2,France 2,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ناجية بن عبد الحفيظ,Najia Ben Abdelhafidh,533,Female,1965,Teacher,Post Secondary,Monastir,1,Assembly of the Representatives of the People,فرنسا 2,France 2,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
حسونة الناصفى,Hassouna Nasfi,534,Male,1972,,Post Secondary,Gabes,1,Assembly of the Representatives of the People,قابس,Gabes,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2016,حركة مشروع تونس,Mouvement Machrouu Tounes,2016-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عدنان الحجي,Adnane Hajji,534,Male,1958,Trade Unionist,,Gafsa,1,Assembly of the Representatives of the People,قفصة,Gafsa,2019-2024,2019-,,حزب الإتحاد الديمقراطي الإجتماعي,Union Democratique Sociale,2019-2020,مستقل,Independent,2020-,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حسونة الناصفي,Hassouna Nasfi,534,Male,1972,Director of a Public Instituion,Post Secondary,Gabes,1,Assembly of the Representatives of the People,قابس,Gabes,2019-2024,2019-,,حركة مشروع تونس,Mouvement Machrouu Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سفيان طوبال,Sofien Toubel,535,Male,1975,Teacher,Post Secondary,,1,Assembly of the Representatives of the People,قفصة,Gafsa,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2019,قلب تونس,Qalb Tounes,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سفيان طوبال,Sofien Toubel,535,Male,1975,Teacher,Post Secondary,,1,Assembly of the Representatives of the People,قفصة,Gafsa,2019-2024,2019-,,قلب تونس,Qalb Tounes,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 أسماء بوالهناء,Asma Abou Hana,536,Female,1978,Bailiff,Post Secondary,,1,Assembly of the Representatives of the People,قفصة,Gafsa,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد بنصوف,Mohamed Ben Souf,537,Male,1975,Housing Coordinator for the Elderly,,,1,Assembly of the Representatives of the People,إيطاليا,Italie,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
بلقاسم دخيلى,Belgacem Dkhili,538,Male,1964,,Post Secondary,Jendouba,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2018,حركة مشروع تونس,Mouvement Machrouu Tounes,2018-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
جيهان عويشى,Jihen Aouichi,539,Female,1983,Lawyer,Post Secondary,,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
شاكر عيادى,Chaker Ayadi,540,Male,1967,Lawyer,Post Secondary,Sfax,1,Assembly of the Representatives of the People,جندوبة,Jendouba,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سهيل العلوينى,Souhail Alouini,541,Male,1956,Doctor,Post Secondary,Tunis,1,Assembly of the Representatives of the People, القيروان,Kairouan,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2016,حركة مشروع تونس,Mouvement Machrouu Tounes,2016-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أنس الحطاب,Ons Hattab,542,Female,1976,Professor,Post Secondary,Kairouan,1,Assembly of the Representatives of the People, القيروان,Kairouan,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الناصر جبيرة,Mohamed Ennaceur Jbira,543,Male,1970,Professor,Post Secondary,Kairouan,1,Assembly of the Representatives of the People, القيروان,Kairouan,2014-2019,2014-2019,1,حركة نداء تونس,Mouvement Nidaa Tounes,2014-2016,حركة مشروع تونس,Mouvement Machrouu Tounes,2016,حركة نداء تونس,Mouvement Nidaa Tounes,2016-2019,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
